reg_no,dob,name,result,subjects
82221040310,01/01/2000,Student 310,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040311,01/01/2000,Student 311,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040312,01/01/2000,Student 312,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040313,01/01/2000,Student 313,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040314,01/01/2000,Student 314,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040315,01/01/2000,Student 315,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040316,01/01/2000,Student 316,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040317,01/01/2000,Student 317,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040318,01/01/2000,Student 318,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040319,01/01/2000,Student 319,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040320,01/01/2000,Student 320,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040321,01/01/2000,Student 321,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040322,01/01/2000,Student 322,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040323,01/01/2000,Student 323,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040324,01/01/2000,Student 324,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040325,01/01/2000,Student 325,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040326,01/01/2000,Student 326,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040327,01/01/2000,Student 327,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040328,01/01/2000,Student 328,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040329,01/01/2000,Student 329,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040330,01/01/2000,Student 330,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040331,01/01/2000,Student 331,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040332,01/01/2000,Student 332,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040333,01/01/2000,Student 333,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040334,01/01/2000,Student 334,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040335,01/01/2000,Student 335,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040336,01/01/2000,Student 336,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040337,01/01/2000,Student 337,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040338,01/01/2000,Student 338,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040339,01/01/2000,Student 339,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040340,01/01/2000,Student 340,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040341,01/01/2000,Student 341,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040342,01/01/2000,Student 342,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040343,01/01/2000,Student 343,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040344,01/01/2000,Student 344,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040345,01/01/2000,Student 345,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040346,01/01/2000,Student 346,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040347,01/01/2000,Student 347,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040348,01/01/2000,Student 348,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040349,01/01/2000,Student 349,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040350,01/01/2000,Student 350,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040351,01/01/2000,Student 351,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040352,01/01/2000,Student 352,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040353,01/01/2000,Student 353,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040354,01/01/2000,Student 354,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040355,01/01/2000,Student 355,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040356,01/01/2000,Student 356,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040357,01/01/2000,Student 357,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040358,01/01/2000,Student 358,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040359,01/01/2000,Student 359,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040360,01/01/2000,Student 360,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040361,01/01/2000,Student 361,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040362,01/01/2000,Student 362,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040363,01/01/2000,Student 363,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040364,01/01/2000,Student 364,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040365,01/01/2000,Student 365,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040366,01/01/2000,Student 366,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040367,01/01/2000,Student 367,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040368,01/01/2000,Student 368,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040369,01/01/2000,Student 369,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040370,01/01/2000,Student 370,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040371,01/01/2000,Student 371,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040372,01/01/2000,Student 372,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040373,01/01/2000,Student 373,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040374,01/01/2000,Student 374,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040375,01/01/2000,Student 375,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040376,01/01/2000,Student 376,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040377,01/01/2000,Student 377,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040378,01/01/2000,Student 378,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040379,01/01/2000,Student 379,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040380,01/01/2000,Student 380,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040381,01/01/2000,Student 381,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040382,01/01/2000,Student 382,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040383,01/01/2000,Student 383,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040384,01/01/2000,Student 384,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040385,01/01/2000,Student 385,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040386,01/01/2000,Student 386,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040387,01/01/2000,Student 387,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040388,01/01/2000,Student 388,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040389,01/01/2000,Student 389,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040390,01/01/2000,Student 390,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040391,01/01/2000,Student 391,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040392,01/01/2000,Student 392,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040393,01/01/2000,Student 393,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040394,01/01/2000,Student 394,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040395,01/01/2000,Student 395,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040396,01/01/2000,Student 396,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040397,01/01/2000,Student 397,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040398,01/01/2000,Student 398,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040399,01/01/2000,Student 399,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040400,01/01/2000,Student 400,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040401,01/01/2000,Student 401,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040402,01/01/2000,Student 402,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040403,01/01/2000,Student 403,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040404,01/01/2000,Student 404,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040405,01/01/2000,Student 405,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040406,01/01/2000,Student 406,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040407,01/01/2000,Student 407,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040408,01/01/2000,Student 408,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040409,01/01/2000,Student 409,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040410,01/01/2000,Student 410,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040411,01/01/2000,Student 411,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040412,01/01/2000,Student 412,FAIL,"{""CS101"":""A"",""CS102"":""U""}"
82221040413,01/01/2000,Student 413,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040414,01/01/2000,Student 414,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040415,01/01/2000,Student 415,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040416,01/01/2000,Student 416,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040417,01/01/2000,Student 417,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040418,01/01/2000,Student 418,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040419,01/01/2000,Student 419,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040420,01/01/2000,Student 420,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040421,01/01/2000,Student 421,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040422,01/01/2000,Student 422,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040423,01/01/2000,Student 423,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040424,01/01/2000,Student 424,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040425,01/01/2000,Student 425,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040426,01/01/2000,Student 426,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040427,01/01/2000,Student 427,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040428,01/01/2000,Student 428,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040429,01/01/2000,Student 429,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040430,01/01/2000,Student 430,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040431,01/01/2000,Student 431,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040432,01/01/2000,Student 432,FAIL,"{""CS101"":""U"",""CS102"":""B""}"
82221040433,01/01/2000,Student 433,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040434,01/01/2000,Student 434,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040435,01/01/2000,Student 435,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040436,01/01/2000,Student 436,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040437,01/01/2000,Student 437,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040438,01/01/2000,Student 438,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040439,01/01/2000,Student 439,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040440,01/01/2000,Student 440,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040441,01/01/2000,Student 441,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040442,01/01/2000,Student 442,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040443,01/01/2000,Student 443,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040444,01/01/2000,Student 444,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040445,01/01/2000,Student 445,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040446,01/01/2000,Student 446,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040447,01/01/2000,Student 447,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040448,01/01/2000,Student 448,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040449,01/01/2000,Student 449,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040450,01/01/2000,Student 450,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040451,01/01/2000,Student 451,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040452,01/01/2000,Student 452,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040453,01/01/2000,Student 453,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040454,01/01/2000,Student 454,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040455,01/01/2000,Student 455,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040456,01/01/2000,Student 456,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040457,01/01/2000,Student 457,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040458,01/01/2000,Student 458,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040459,01/01/2000,Student 459,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040460,01/01/2000,Student 460,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040461,01/01/2000,Student 461,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040462,01/01/2000,Student 462,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040463,01/01/2000,Student 463,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040464,01/01/2000,Student 464,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040465,01/01/2000,Student 465,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040466,01/01/2000,Student 466,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040467,01/01/2000,Student 467,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040468,01/01/2000,Student 468,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040469,01/01/2000,Student 469,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040470,01/01/2000,Student 470,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040471,01/01/2000,Student 471,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040472,01/01/2000,Student 472,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040473,01/01/2000,Student 473,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040474,01/01/2000,Student 474,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040475,01/01/2000,Student 475,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040476,01/01/2000,Student 476,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040477,01/01/2000,Student 477,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040478,01/01/2000,Student 478,PASS,"{""CS101"":""U"",""CS102"":""U""}"
82221040479,01/01/2000,Student 479,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040480,01/01/2000,Student 480,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040481,01/01/2000,Student 481,FAIL,"{""CS101"":""A"",""CS102"":""U""}"
82221040482,01/01/2000,Student 482,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040483,01/01/2000,Student 483,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040484,01/01/2000,Student 484,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040485,01/01/2000,Student 485,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040486,01/01/2000,Student 486,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040487,01/01/2000,Student 487,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040488,01/01/2000,Student 488,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040489,01/01/2000,Student 489,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040490,01/01/2000,Student 490,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040491,01/01/2000,Student 491,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040492,01/01/2000,Student 492,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040493,01/01/2000,Student 493,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040494,01/01/2000,Student 494,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040495,01/01/2000,Student 495,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040496,01/01/2000,Student 496,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040497,01/01/2000,Student 497,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040498,01/01/2000,Student 498,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040499,01/01/2000,Student 499,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040500,01/01/2000,Student 500,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040501,01/01/2000,Student 501,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040502,01/01/2000,Student 502,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040503,01/01/2000,Student 503,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040504,01/01/2000,Student 504,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040505,01/01/2000,Student 505,FAIL,"{""CS101"":""U"",""CS102"":""B""}"
82221040506,01/01/2000,Student 506,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040507,01/01/2000,Student 507,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040508,01/01/2000,Student 508,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040509,01/01/2000,Student 509,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040510,01/01/2000,Student 510,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040511,01/01/2000,Student 511,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040512,01/01/2000,Student 512,FAIL,"{""CS101"":""U"",""CS102"":""B""}"
82221040513,01/01/2000,Student 513,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040514,01/01/2000,Student 514,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040515,01/01/2000,Student 515,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040516,01/01/2000,Student 516,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040517,01/01/2000,Student 517,FAIL,"{""CS101"":""U"",""CS102"":""B""}"
82221040518,01/01/2000,Student 518,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040519,01/01/2000,Student 519,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040520,01/01/2000,Student 520,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040521,01/01/2000,Student 521,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040522,01/01/2000,Student 522,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040523,01/01/2000,Student 523,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040524,01/01/2000,Student 524,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040525,01/01/2000,Student 525,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040526,01/01/2000,Student 526,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040527,01/01/2000,Student 527,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040528,01/01/2000,Student 528,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040529,01/01/2000,Student 529,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040530,01/01/2000,Student 530,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040531,01/01/2000,Student 531,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040532,01/01/2000,Student 532,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040533,01/01/2000,Student 533,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040534,01/01/2000,Student 534,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040535,01/01/2000,Student 535,FAIL,"{""CS101"":""A"",""CS102"":""U""}"
82221040536,01/01/2000,Student 536,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040537,01/01/2000,Student 537,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040538,01/01/2000,Student 538,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040539,01/01/2000,Student 539,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040540,01/01/2000,Student 540,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040541,01/01/2000,Student 541,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040542,01/01/2000,Student 542,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040543,01/01/2000,Student 543,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040544,01/01/2000,Student 544,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040545,01/01/2000,Student 545,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040546,01/01/2000,Student 546,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040547,01/01/2000,Student 547,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040548,01/01/2000,Student 548,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040549,01/01/2000,Student 549,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040550,01/01/2000,Student 550,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040551,01/01/2000,Student 551,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040552,01/01/2000,Student 552,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040553,01/01/2000,Student 553,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040554,01/01/2000,Student 554,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040555,01/01/2000,Student 555,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040556,01/01/2000,Student 556,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040557,01/01/2000,Student 557,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040558,01/01/2000,Student 558,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040559,01/01/2000,Student 559,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040560,01/01/2000,Student 560,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040561,01/01/2000,Student 561,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040562,01/01/2000,Student 562,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040563,01/01/2000,Student 563,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040564,01/01/2000,Student 564,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040565,01/01/2000,Student 565,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040566,01/01/2000,Student 566,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040567,01/01/2000,Student 567,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040568,01/01/2000,Student 568,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040569,01/01/2000,Student 569,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040570,01/01/2000,Student 570,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040571,01/01/2000,Student 571,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040572,01/01/2000,Student 572,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040573,01/01/2000,Student 573,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040574,01/01/2000,Student 574,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040575,01/01/2000,Student 575,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040576,01/01/2000,Student 576,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040577,01/01/2000,Student 577,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040578,01/01/2000,Student 578,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040579,01/01/2000,Student 579,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040580,01/01/2000,Student 580,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040581,01/01/2000,Student 581,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040582,01/01/2000,Student 582,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040583,01/01/2000,Student 583,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040584,01/01/2000,Student 584,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040585,01/01/2000,Student 585,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040586,01/01/2000,Student 586,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040587,01/01/2000,Student 587,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040588,01/01/2000,Student 588,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040589,01/01/2000,Student 589,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040590,01/01/2000,Student 590,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040591,01/01/2000,Student 591,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040592,01/01/2000,Student 592,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040593,01/01/2000,Student 593,PASS,"{""CS101"":""U"",""CS102"":""B""}"
82221040594,01/01/2000,Student 594,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040595,01/01/2000,Student 595,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040596,01/01/2000,Student 596,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040597,01/01/2000,Student 597,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040598,01/01/2000,Student 598,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040599,01/01/2000,Student 599,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040600,01/01/2000,Student 600,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040601,01/01/2000,Student 601,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040602,01/01/2000,Student 602,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040603,01/01/2000,Student 603,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040604,01/01/2000,Student 604,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040605,01/01/2000,Student 605,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040606,01/01/2000,Student 606,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040607,01/01/2000,Student 607,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040608,01/01/2000,Student 608,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040609,01/01/2000,Student 609,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040610,01/01/2000,Student 610,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040611,01/01/2000,Student 611,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040612,01/01/2000,Student 612,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040613,01/01/2000,Student 613,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040614,01/01/2000,Student 614,FAIL,"{""CS101"":""A"",""CS102"":""B""}"
82221040615,01/01/2000,Student 615,FAIL,"{""CS101"":""U"",""CS102"":""B""}"
82221040616,01/01/2000,Student 616,PASS,"{""CS101"":""A"",""CS102"":""U""}"
82221040617,01/01/2000,Student 617,PASS,"{""CS101"":""A"",""CS102"":""B""}"
82221040618,01/01/2000,Student 618,PASS,"{""CS101"":""A"",""CS102"":""B""}"
